Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Started,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,Read Count
19358346,The Rowan Tree,Robert W. Fuller,"Fuller, Robert W.",,,,0,3.39,Amazon Digital Services,Kindle Edition,540,2013,2013,,,12/13/2017,to-read,to-read (#316),to-read,0
29160146,"Spy Girl (Spy Girl, #1)",Jillian Dodd,"Dodd, Jillian",,,,3,3.87,Jillian Dodd Inc.,Kindle Edition,201,2016,2016,12/13/2017,12/15/2017,12/13/2017,,,read,1
30688435,Exit West,Mohsin Hamid,"Hamid, Mohsin",,735212171,9.78E+12,4,3.77,Riverhead,Hardcover,231,2017,2017,12/13/2017,12/13/2017,12/13/2017,,,read,1
22910900,The Rest of Us Just Live Here,Patrick Ness,"Ness, Patrick",,1406331163,9.78E+12,4,3.69,Walker Books,Hardcover,348,2015,2015,12/11/2017,12/12/2017,12/12/2017,,,read,1
16158565,The Thinking Woman's Guide to Real Magic,Emily Croy Barker,"Barker, Emily Croy",,670023663,9.78E+12,3,3.55,Pamela Dorman Books,Hardcover,563,2013,2013,10/27/2017,12/10/2017,10/27/2017,,,read,1
13537611,"The Shadow Queen: A Novel of Wallis Simpson, Duchess of Windsor",Rebecca Dean,"Dean, Rebecca",,,,5,3.62,Broadway (Random House Imprint),Kindle Edition,416,2012,2012,10/29/2017,12/2/2017,9/15/2016,,,read,1
32956365,The Light We Lost,Jill Santopolo,"Santopolo, Jill",,735212759,9.78E+12,0,3.87,G.P. Putnam's Sons,Hardcover,328,2017,2017,,,12/1/2017,to-read,to-read (#311),to-read,0
18667976,The Secret Life of Violet Grant (Schuyler Sisters #1),Beatriz Williams,"Williams, Beatriz",,399162178,9.78E+12,0,4.03,G.P. Putnam's Sons,Hardcover,432,2014,2014,,,12/1/2017,to-read,to-read (#310),to-read,0
110890,The Looming Tower: Al-Qaeda and the Road to 9/11,Lawrence Wright,"Wright, Lawrence",,037541486X,9.78E+12,0,4.34,Knopf Publishing Group,Hardcover,469,2006,2006,,,11/16/2017,to-read,to-read (#308),to-read,0
22544764,Uprooted,Naomi Novik,"Novik, Naomi",,804179034,9.78E+12,5,4.05,Del Rey,Hardcover,438,2015,2015,6/24/2017,7/18/2017,6/23/2017,,,read,1
31285568,"Twisted Palace (The Royals, #3)",Erin Watt,"Watt, Erin","Elle Kennedy, Jen Frederick",,,3,3.94,Timeout LLC,Kindle Edition,322,2016,2016,10/27/2017,10/28/2017,10/27/2017,,,read,1
29759858,"Broken Prince (The Royals, #2)",Erin Watt,"Watt, Erin","Elle Kennedy, Jen Frederick",,,3,4.01,Timeout LLC,Kindle Edition,350,2016,2016,10/25/2017,10/26/2017,10/25/2017,,,read,1
28678119,"Paper Princess (The Royals, #1)",Erin Watt,"Watt, Erin","Elle Kennedy, Jen Frederick",,,3,3.96,Timeout LLC,Kindle Edition,370,2016,2016,10/19/2017,10/24/2017,10/19/2017,,,read,1
10988,"Drums of Autumn (Outlander, #4)",Diana Gabaldon,"Gabaldon, Diana",,385335989,9.78E+12,5,4.34,Delta,Paperback,880,2001,1996,11/29/2016,10/13/2017,11/28/2016,,,read,1
13456414,A Short Stay in Hell,Steven L. Peck,"Peck, Steven L.",,098374842X,9.78E+12,0,4.21,Strange Violin Editions,Paperback,104,2012,2011,,,10/18/2017,to-read,to-read (#307),to-read,0
21853621,The Nightingale,Kristin Hannah,"Hannah, Kristin",,312577222,9.78E+12,5,4.59,St. Martin's Press,Hardcover,440,2015,2015,7/19/2017,9/8/2017,7/24/2017,,,read,1
18867320,"Extraordinary People (The Enzo Files, #1)",Peter  May,"May, Peter",,,,4,3.68,Quercus,Kindle Edition,337,2013,2006,7/23/2017,8/11/2017,7/24/2017,,,read,1
30139664,Walkaway,Cory Doctorow,"Doctorow, Cory",,765392763,9.78E+12,0,3.74,Tor Books,Hardcover,384,2017,2017,,,7/14/2017,to-read,to-read (#306),to-read,0
28221006,The One Man,Andrew Gross,"Gross, Andrew",,1250079500,9.78E+12,0,4.32,Minotaur Books,Hardcover,416,2016,2016,,,7/3/2017,to-read,to-read (#305),to-read,0
18568560,Jaffa Beach: Historical Fiction,Fedora Horowitz,"Horowitz, Fedora",,1481991701,9.78E+12,0,4.05,Createspace Independent Publishing Platform,Paperback,454,2013,2013,,,7/3/2017,to-read,to-read (#304),to-read,0
33257571,"Too Fat, Too Slutty, Too Loud: The Rise and Reign of the Unruly Woman",Anne Helen Petersen,"Petersen, Anne Helen",,399576851,9.78E+12,0,3.81,Plume Books,Hardcover,234,2017,2017,,,6/23/2017,to-read,to-read (#303),to-read,0
2779676,Being Written,William Conescu,"Conescu, William",,61451347,9.78E+12,3,3.12,Harper Perennial,Paperback,224,2008,2008,6/17/147,6/23/2017,6/23/2017,,,read,1
4954833,Brooklyn,Colm TÃ³ibÃ­n,"TÃ³ibÃ­n, Colm",,1439138311,9.78E+12,4,3.68,Scribner,Hardcover,262,2009,2009,5/22/2017,6/13/2017,6/13/2017,,,read,1
11823620,American Gods,Neil Gaiman,"Gaiman, Neil",,,,0,4.11,William Morrow,Kindle Edition,674,2011,2001,,,8/12/2014,to-read,to-read (#212),to-read,0
12961964,"The Handmaid's Tale (The Handmaid's Tale, #1)",Margaret Atwood,"Atwood, Margaret",,,,5,4.12,Houghton Mifflin Harcourt,Kindle Edition,325,1986,1985,4/20/2017,5/4/2017,4/17/2014,,,read,1
18302455,The Circle,Dave Eggers,"Eggers, Dave",,,,4,3.43,Knopf,Hardcover,493,2013,2013,4/29/2017,5/8/2017,5/8/2017,,,read,1
18775284,I Am Having So Much Fun Here Without You,Courtney Maum,"Maum, Courtney",,1476764581,9.78E+12,0,3.37,Touchstone,Hardcover,336,2014,2014,,,4/28/2017,to-read,to-read (#301),to-read,0
32336834,Touch,Courtney Maum,"Maum, Courtney",,735212120,9.78E+12,0,3.59,G.P. Putnam's Sons,Hardcover,320,2017,2017,,,4/28/2017,to-read,to-read (#300),to-read,0
17368273,The October List,Jeffery Deaver,"Deaver, Jeffery",,1455576646,9.78E+12,5,3.47,Grand Central Publishing,Hardcover,312,2013,2013,4/21/2017,4/25/2017,4/25/2017,,,read,1
32877734,"The Grift of the Magi (Heist Society, #3.5)",Ally Carter,"Carter, Ally",,,,3,4.33,NLA Digital LLC,Kindle Edition,105,2016,2016,4/19/2017,4/20/2017,4/19/2017,,,read,1
32328260,Fantastic Beasts and Where to Find Them,Newt Scamander,"Scamander, Newt",J.K. Rowling,,,0,3.97,Pottermore Publishing,Kindle Edition,115,2017,2001,,,4/18/2017,to-read,to-read (#299),to-read,0
6479879,Neverwhere,Neil Gaiman,"Gaiman, Neil",,,,0,4.17,William Morrow,Kindle Edition,336,2009,1996,,,8/12/2014,to-read,to-read (#213),to-read,0
33002872,The Women in the Castle,Jessica Shattuck,"Shattuck, Jessica",,,,0,3.85,William Morrow,Kindle Edition,368,2017,2017,,,4/18/2017,to-read,to-read (#298),to-read,0
20458153,It Can't Happen Here,Sinclair Lewis,"Lewis, Sinclair","Michael  Meyer, Gary Scharnhorst",,,0,3.78,Signet,Kindle Edition,416,2014,1935,,,4/18/2017,to-read,to-read (#297),to-read,0
13517978,The Unofficial Zack Warren Fan Club (Unofficial #1),J.C. Isabella,"Isabella, J.C.",,,,4,3.74,"J.C. Isabella, via kindle",Kindle Edition,204,2012,2011,7/16/2012,7/17/2012,7/16/2012,,,read,1
3367956,Hotel on the Corner of Bitter and Sweet,Jamie Ford,"Ford, Jamie",,345505336,9.78E+12,4,4.02,Ballantine Books,Hardcover,290,2009,2009,3/13/2017,3/19/2017,3/21/2017,,,read,1
30858610,"Take the Key and Lock Her Up (Embassy Row, #3)",Ally Carter,"Carter, Ally",,,,4,4.12,Scholastic Press,Kindle Edition,336,2016,2016,2/25/2017,2/26/2017,2/25/2017,,,read,1
17675042,The Spymistress,Jennifer Chiaverini,"Chiaverini, Jennifer",,525953620,9.78E+12,3,3.63,Dutton,Hardcover,355,2013,2013,1/5/2017,2/25/2017,1/5/2017,,,read,1
24921954,"The Thousandth Floor (The Thousandth Floor, #1)",Katharine McGee,"McGee, Katharine",,,,0,3.68,HarperCollins ,Kindle Edition,448,2016,2016,,,2/25/2017,to-read,to-read (#296),to-read,0
15818107,Orphan Train,Christina Baker Kline,"Kline, Christina Baker",,,,4,4.18,William Morrow Paperbacks,Paperback,278,2013,2013,2/10/2017,2/17/2017,2/22/2017,,,read,1
22918050,"The Heir (The Selection, #4)",Kiera Cass,"Cass, Kiera",,,,4,3.69,HarperTeen,Kindle Edition,342,2015,2015,1/1/2017,1/1/2017,12/4/2014,,,read,1
7745326,"The Tower, The Zoo, and The Tortoise",Julia Stuart,"Stuart, Julia",,385533284,9.78E+12,3,3.58,Doubleday,Hardcover,304,2010,2010,11/18/2016,1/2/2017,11/18/2016,,,read,1
23360039,How to Bake Pi: An Edible Exploration of the Mathematics of Mathematics,Eugenia Cheng,"Cheng, Eugenia",,465051715,9.78E+12,0,3.61,Basic Books,Hardcover,304,2015,2015,,,12/30/2016,to-read,to-read (#295),to-read,0
10410420,"Bottom of the 33rd: Hope, Redemption, and Baseball's Longest Game",Dan Barry,"Barry, Dan",,006201448X,9.78E+12,0,4.06,Harper,Hardcover,259,2011,2010,,,12/30/2016,to-read,to-read (#294),to-read,0
