book_id,title,author,additional_authors,isbn,isbn13,my_rating,average_rating,publisher,format,number_of_pages,original_publication_year,date_started,date_read,date_added,bookshelves,exclusive_shelf,read_count,type
28797323,"The Black Key (The Lone City, #3)",Amy Ewing,NA,NA,NA,4,3.95,HarperTeen,ebook,304,2016,2016-10-04,2016-10-13,2016-10-04,NA,read,1,JMH
25817407,The Siren,Kiera Cass,NA,62391992,9780000000000,0,3.73,HarperTeen,Hardcover,327,2009,NA,NA,2016-01-13,to-read,to-read,0,JMH
26590191,"Sinful Cinderella (Dark Fairy Tale Queen, #1)",Anita Valle,NA,NA,NA,3,3.6,NA,ebook,158,2015,2016-09-28,2016-09-29,2016-09-29,NA,read,1,JMH
8258519,New York,Edward Rutherfurd,NA,345497422,9780000000000,4,4.15,Ballantine Books,Paperback,862,2009,2016-09-08,2016-09-26,2016-09-08,NA,read,1,JMH
18050175,The Quick,Lauren Owen,NA,812993276,9780000000000,3,3.25,Random House,Hardcover,523,2014,2016-08-20,2016-09-14,2016-08-21,NA,read,1,JMH
7937510,Naked Economics: Undressing the Dismal Science,Charles Wheelan,Burton G. Malkiel,393337642,9780000000000,0,4.02,W. W. Norton  Company,Paperback,384,2002,NA,NA,2016-09-08,to-read,to-read,0,JMH
31538635,"Short Stories from Hogwarts of Heroism, Hardship and Dangerous Hobbies (Pottermore Presents, #1)",J.K. Rowling,MinaLima,1781106282,9780000000000,3,4.22,Pottermore Limited,ebook,71,2016,2016-09-06,2016-09-06,2016-09-06,NA,read,1,JMH
31538614,"Short Stories from Hogwarts of Power, Politics and Pesky Poltergeists (Pottermore Presents, #2)",J.K. Rowling,MinaLima,1781106290,9780000000000,3,4.18,Pottermore Limited,ebook,71,2016,2016-09-06,2016-09-06,2016-09-06,NA,read,1,JMH
31538647,Hogwarts: An Incomplete and Unreliable Guide,J.K. Rowling,NA,NA,NA,3,4.2,Pottermore Limited,ebook,85,2016,2016-09-06,2016-09-06,2016-09-06,NA,read,1,JMH
17343420,"Psi Another Day (Psi Fighter Academy, #1)",D.R. Rosensteel,NA,1622660420,9780000000000,0,3.6,Entangled: Teen,Paperback,352,2013,NA,NA,2016-09-02,to-read,to-read,0,JMH
24380140,"Spelled (The Storymakers, #1)",Betsy Schow,NA,1492608718,9780000000000,3,3.68,Sourcebooks Fire,Paperback,345,2015,2016-08-11,2016-08-15,2016-08-11,NA,read,1,JMH
