gid,award_rank,award_votes,award_category,award_year,pages,date_published
9917879,19,146,Middle Grade & Children's,2011,390,2011-08-30
10431447,20,119,Middle Grade & Children's,2011,541,2011-08-30
9328233,1,1967,Picture Books,2011,32,2011-02-01
11233988,2,1821,Picture Books,2011,40,2011-09-27
9314560,3,1241,Picture Books,2011,32,2011-02-01
8471012,4,1204,Picture Books,2011,40,2011-01-25
8726737,5,993,Picture Books,2011,32,2011-01-04
10574666,6,924,Picture Books,2011,32,2011-08-30
9212014,7,907,Picture Books,2011,40,2011-03-01
9211991,8,872,Picture Books,2011,38,2011-04-04
9465166,9,839,Picture Books,2011,69,2011-04-26
10168924,10,756,Picture Books,2011,40,2011-05-24
10550292,11,405,Picture Books,2011,32,2011-10-04
9771739,12,368,Picture Books,2011,48,2011-03-22
8411631,13,337,Picture Books,2011,40,2011-02-15
8999818,14,327,Picture Books,2011,64,2011-02-08
9537743,15,312,Picture Books,2011,32,2011-02-01
9642662,16,293,Picture Books,2011,40,2011-04-05
11345770,17,256,Picture Books,2011,40,2011-08-23
10253286,18,240,Picture Books,2011,32,2011-07-12
8471013,19,220,Picture Books,2011,40,2011-03-29
11051230,20,99,Picture Books,2011,32,2011-09-05
8643220,1,4898,Graphic Novels & Comics,2011,144,2011-08-23
9792887,2,3529,Graphic Novels & Comics,2011,168,2011-06-01
10822174,3,2646,Graphic Novels & Comics,2011,136,2011-06-29
11450360,4,2410,Graphic Novels & Comics,2011,240,2011-10-11
10767466,5,1975,Graphic Novels & Comics,2011,168,2011-09-27
9260507,6,1950,Graphic Novels & Comics,2011,160,2011-03-01
8712359,7,1770,Graphic Novels & Comics,2011,208,2011-03-01
9615347,8,1574,Graphic Novels & Comics,2011,224,2011-06-07
10138607,9,1081,Graphic Novels & Comics,2011,672,2011-09-20
9674335,10,978,Graphic Novels & Comics,2011,152,NA
9532901,11,549,Graphic Novels & Comics,2011,169,2011-07-12
8601702,12,523,Graphic Novels & Comics,2011,256,2011-04-12
8477057,13,342,Graphic Novels & Comics,2011,256,2011-02-08
8560639,14,289,Graphic Novels & Comics,2011,160,2011-03-29
9630403,15,256,Graphic Novels & Comics,2011,160,2011-06-07
11369933,16,244,Graphic Novels & Comics,2011,112,2011-09-28
10537195,17,166,Graphic Novels & Comics,2011,219,2011-09-01
8793349,18,117,Graphic Novels & Comics,2011,77,2011-04-12
8569434,19,72,Graphic Novels & Comics,2011,192,2011-03-01
9304081,20,43,Graphic Novels & Comics,2011,140,2011-04-12
9315496,1,1260,Poetry,2011,103,2011-04-05
10326288,2,814,Poetry,2011,NA,NA
9743885,3,770,Poetry,2011,77,2011-02-08
9471417,4,742,Poetry,2011,240,2011-01-18
9654817,5,716,Poetry,2011,78,2011-01-15
11480960,6,612,Poetry,2011,60,2011-07-01
10441086,7,585,Poetry,2011,120,2011-02-07
9083996,8,467,Poetry,2011,94,2011-02-01
8329847,9,391,Poetry,2011,96,2011-02-28
9763619,10,369,Poetry,2011,75,2011-03-15
10858542,11,164,Poetry,2011,105,2011-04-26
9803013,12,144,Poetry,2011,112,2010-12-31
11687728,13,141,Poetry,2011,129,2011-12-29
11065188,14,117,Poetry,2011,103,2011-09-10
9605240,15,105,Poetry,2011,81,2011-05-10
8431208,16,103,Poetry,2011,80,2011-01-17
11521367,17,76,Poetry,2011,96,2011-04-29
8912427,18,75,Poetry,2011,88,2011-03-15
12085850,19,39,Poetry,2011,96,2011-10-01
9870010,20,21,Poetry,2011,128,2011-03-15
6752378,1,6097,Goodreads Author,2011,425,2011-04-05
8559047,2,5093,Goodreads Author,2011,308,2011-05-31
8306857,3,5070,Goodreads Author,2011,487,2011-04-25
1215032,4,4242,Goodreads Author,2011,994,2011-03-01
8667848,5,3611,Goodreads Author,2011,579,NA
9583508,6,2905,Goodreads Author,2011,308,2011-06-21
9409458,7,2810,Goodreads Author,2011,390,2011-07-12
8685612,8,2643,Goodreads Author,2011,384,2011-01-25
7686667,9,2513,Goodreads Author,2011,441,2011-02-03
10637766,10,2326,Goodreads Author,2011,448,2011-10-04
8683812,11,1153,Goodreads Author,2011,314,2011-02-27
